comparison,instance_sha256,instance,users,agents,visits,seed,left_method,right_method,left_status,right_status,both_optimum,left_similarity,right_similarity,delta_similarity,left_continuity,right_continuity,delta_continuity,left_overtime,right_overtime,delta_overtime
continuity-first-to-overtime-first,6a86d9e04419d5434a8ac83437d7b4c9067045575a2a45a9a29888e5d862b401,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1002_critical.txt,40,25,5,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,673.0,673.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,7a04660fc90733bd70c078b57f1458a7d6d3407d9182f01d456779938bbe7cac,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1001_critical.txt,30,25,4,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,419.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,30,20,5,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,491.0,491.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,40,20,4,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,529.0,529.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,935abeb825bf65f5eb6f564d142868752b8f09cc140daeead539a193eee52b75,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1001_critical.txt,40,15,4,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,571.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,93e26e12184989f851e4f91e33046006e375b0bdc1069591b75e6f5d66e9d66b,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1002_critical.txt,40,10,4,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,523.0,523.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,9b4ded7517693f18fc14c67224a40507d9d4088119616e90b89f0bbcadb2445d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1001_critical.txt,40,20,5,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,715.0,715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,addefcd65569a464f6ade877201060bec8b3edf54c9784bd4a2ce47e7fa65a0a,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1001_critical.txt,40,15,5,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,712.0,712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,40,20,5,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,659.0,659.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,b98e75059c523562fbab64282673d9ea225242fe21209b5e428aee89aa625edd,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1001_critical.txt,40,10,4,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,561.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,bf02b641d1ae8d30c144fab0d28c5aca968d3331c2c020b30c1e45791af1e438,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1002_critical.txt,30,10,4,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,409.0,409.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,cf5584e50c87aace73c609c7ad0a93612c40b8323ca8f8a5664aa14449736764,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1001_critical.txt,30,15,4,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,416.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,d4d3d128eb54871902a41a24c690d5559af2a39138098ef2902d8f1e4d8089a8,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1001_critical.txt,30,20,4,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,d83d36c93f2b20d42d2082b908832af7a5bf6831774fa8060410156fd9f71c3d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1003_critical.txt,40,20,5,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,660.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,d905fad91222982a08a22ae863c33e30bfbfd97c54ac14ec4029959a98d9ffe3,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1001_critical.txt,30,15,5,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,535.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,de23508d979db3048be208918f8d51242d991165e80c2414fca7a3ce4ee5b17d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1002_critical.txt,30,25,4,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,422.0,422.0,0.0,1.0,2.0,1.0,1.0,0.0,-1.0
continuity-first-to-overtime-first,e045b0692d9963b967cc37f3afb3e58c3e9aff61a3ca6f5ab662629dc35b3201,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1001_critical.txt,40,25,5,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,713.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,e90c35e7cece54d3787eeeb644bcf0edacb9c7c339799fb4aaa218f9d27dc487,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1003_critical.txt,30,25,5,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,498.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,ecef75f227343cde9e2c9dfd880ff2779326fa051917a8a437023079d7d1ee16,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1003_critical.txt,30,10,4,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,408.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,f0260653f1c0ec8a84896f38a9bfdbc795d01316d5a47411bbb0a60f7a6e9958,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1001_critical.txt,30,10,5,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,531.0,528.0,-3.0,0.0,1.0,1.0,1.0,0.0,-1.0
continuity-first-to-overtime-first,f05bb4ba1ebe8ecf0e95e0508ba8cba7463abb6f7c5a573eafb693c49e861cc0,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1001_critical.txt,40,20,4,1001,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,576.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,f927ebb65ee27c08aa667987adf8f8a250da1264d79c4928cd88971e4a6b004e,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1003_critical.txt,30,10,5,1003,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,487.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuity-first-to-overtime-first,fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,40,15,5,1002,lex-cos,lex-overtime,OPTIMUM,OPTIMUM,True,669.0,669.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
